,AssetNumber,AssetIdentifier
3365968,81232998481,"MRPP-AP-4-A, MRPP-AP-4-B • NB • Ledcor Sicim LP • 552"
3366041,31544977059,AP-3-B-82-1 • SB • Ledcor Sicim LP
3366201,33825903276,"MRPP-AP-4-A, MRPP-AP-4-B • SB • Ledcor Sicim LP • 552"
3368940,14357322467,AP 4-A-14-A • SB • Ledcor Sicim LP • 631.8
3369006,63050337398,AP 4-A-14-A • NB • Ledcor Sicim LP • 631.8
3865486,27743462715,MRPP-AP 18-B • SB • Ledcor Sicim LP • 552
3865490,79980814282,MRPP-AP 16 • NB • Ledcor Sicim LP • 425.6
3865492,25003452273,MRPP-AP 17 • NB • Ledcor Sicim LP • 427.5
3865493,72309843309,MRPP-AP 17 • SB • Ledcor Sicim LP • 427.5
3865495,73463278796,AP 4-A-5-A • NB • Ledcor Sicim LP • 612.6
3865498,15246261041,AP 4-A-5-A • SB • Ledcor Sicim LP • 612.6
3865500,96187352371,"AP 5-A-1-B-8, AP 5-A-1-B-9 • N/A • Surerus Murphy JV • 814.8"
3865508,62917319944,"AP 5-A-1-B-1, AP 5-A-1-B-2 • N/A • Surerus Murphy JV • 806.7"
3865510,23368050886,MRPP-AP 15 • NB • Ledcor Sicim LP • 424.2
3865515,97980030536,"AP 5-A-1-B-5, AP 5-A-1-B-6 • N/A • Surerus Murphy JV • 808.2"
3865524,81559165626,"AP 5-A-1-B-10, AP 5-A-1-B-12 • N/A • Surerus Murphy JV • 816"
3865525,98426103867,"AP 5-A-1-B-3, AP 5-A-1-B-4 • N/A • Surerus Murphy JV • 807.7"
3865530,11350285286,"AP 3-C-64-A, AP 3-C-Hwy 5-5 and, AP 3-C-Hwy 5-6 • SB • Ledcor Sicim LP • 578.6"
3865532,28553437976,MRPP-AP 15 • SB • Ledcor Sicim LP • 424.2
3865533,23468897673,"AP 3-C-64-A, AP 3-C-Hwy 5-5 and, AP 3-C-Hwy 5-6 • NB • Ledcor Sicim LP • 578.6"
3865535,52875362848,"AP 3-C-39-A, AP 3-C-40-B • SB • Ledcor Sicim LP • 535"
3865538,89198832075,"AP 3-C-39-A, AP 3-C-40-B • NB • Ledcor Sicim LP • 535"
3865542,61720250196,MRPP-AP 18-B • NB • Ledcor Sicim LP • 552
