ValidTasksIndex,AllTasksIndex,AssetNumber,AssetIdentifier,CreatedDate,UnderConstructionTime,BaselineTime,DelayTime,State,SegmentLength,CalculatedDelayTime,CalculatedState
1902178,6907075,71758011730,AP 3-C-60-G • SB • Ledcor Sicim LP • 568,3/2/2021 5:31:42 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902179,6907076,56416848379,"AP 3-C-62-A, AP 3-C-63-A • SB • Ledcor Sicim LP • 578.4",3/2/2021 5:31:42 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902180,6907077,98623808284,AP 3-C-65-A • SB • Ledcor Sicim LP • 580.2,3/2/2021 5:31:42 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902181,6907078,89335857588,"AP 3-C-66-A, AP 3-C-67-A-1 • SB • Ledcor Sicim LP • 581.8",3/2/2021 5:31:43 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902182,6907079,40019229882,AP 3-C-68-B • SB • Ledcor Sicim LP • 588.5,3/2/2021 5:31:43 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902183,6907080,22066491450,AP 3-C-69-A • SB • Ledcor Sicim LP • 589.4,3/2/2021 5:31:43 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902184,6907081,17900926692,"AP 3-C-Hwy 5-7, AP 3-C-Hwy 5-8 • NB • Ledcor Sicim LP • 592.6",3/2/2021 5:31:43 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902185,6907082,69422269667,AP 3-C-70-A • NB • Ledcor Sicim LP • 593.8,3/2/2021 5:31:44 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902186,6907083,21927890768,"AP 3-C-72-B, AP 3-C-73-A • NB • Ledcor Sicim LP • 597.2",3/2/2021 5:31:44 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902187,6907084,53487591867,AP 3-C-74-A • NB • Ledcor Sicim LP • 598.8,3/2/2021 5:31:44 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902188,6907085,33662803842,"AP 3-C-75-A, AP 3-C-76-B • NB • Ledcor Sicim LP • 601.2",3/2/2021 5:31:44 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902189,6907086,48287165966,"AP 3-C-77-B, AP 3-C-77-C • NB • Ledcor Sicim LP • 604.1",3/2/2021 5:31:45 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902190,6907087,15639905483,"AP 3-C-Hwy 5-10, AP 3-C-Hwy 5-9 • NB • Ledcor Sicim LP • 605.5",3/2/2021 5:31:45 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902191,6907088,21312749164,"AP 3-C-80.1-A, AP 3-C-81-C • SB • Ledcor Sicim LP • 609.8",3/2/2021 5:31:45 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902192,6907089,84498234371,AP 3-C-79-A • NB • Ledcor Sicim LP • 607.3,3/2/2021 5:31:46 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902193,6907090,84240753195,AP-3-C-80-A • NB • Ledcor Sicim LP • 607.8,3/2/2021 5:31:46 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902194,6907091,29368392925,"AP 3-C-81-C-1, AP 3-C-81-C-2 • NB • Ledcor Sicim LP • 610.4",3/2/2021 5:31:46 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902195,6907092,58131120333,"AP 4-A-2-A-1, AP 4-A-2-A-2 • SB • Ledcor Sicim LP • 610.9",3/2/2021 5:31:46 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902196,6907093,86535045489,"AP 3-C-81-D-1, AP 3-C-81-D-2 • N/A • Ledcor Sicim LP • 610.8",3/2/2021 5:31:47 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902197,6907094,86398967383,AP 4-A-3-A • N/A • Ledcor Sicim LP • 611.2,3/2/2021 5:31:47 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902198,6907095,94801343162,AP 4-A-3.1-A • N/A • Ledcor Sicim LP • 611.6,3/2/2021 5:31:47 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902199,6907096,57925721204,"AP 4-A-4-A-1, AP 4-A-4-A-2 • N/A • Ledcor Sicim LP • 611.8",3/2/2021 5:31:48 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902200,6907097,15246261041,AP 4-A-5-A • SB • Ledcor Sicim LP • 612.6,3/2/2021 5:31:48 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
1902201,6907098,28356926891,"AP 4-A-1-A-1, AP 4-A-1-A-2 • SB • Ledcor Sicim LP • 612.3",3/2/2021 5:31:48 AM,1.0,1.0,1.0,OK,1.0,0.0,OK
